,body_hash,type,dim,scale,center_ecl,x_ecl,y_ecl,z_ecl,r_ecl,q_ecl,f_ecl,ns_ecl,x_obs,y_obs,z_obs,r_obs,q_obs,f_obs,ns_obs,x_luz,y_luz,z_luz,r_luz,q_luz,f_luz,ns_luz,n_equ,alpha_equ,center_equ,x_equ,y_equ,z_equ,r_equ,q_equ,f_equ,ns_equ,w,t0,asp,dsp,albedo_gray_normal,tau_gray_optical,unset,visible,shadow,illuminated,transit,indirect,occult,emit,hidden
1887,cronoring,0,2,0.5,"[0, 0, 0]",-2.3419718081521386,3.1437450485491327,2.3419718081521386,4.566486267431008,2.2110655581416516,0.5385139212011816,[0.70710678 0.         0.70710678],-3.5006487922633593,2.3419718081521386,-1.7644894201104397,4.566486267431009,2.5519689518796556,-0.39672502614879623,[ 0.63245553  0.70710678 -0.31622777],3.1437450485491327,2.3419718081521386,-2.3419718081521386,4.566486267431008,0.6402692313467551,-0.5385139212011816,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",0.1437450485491326,0.3120482937841946,0.0,0.343564807039399,1.1391212324681277,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1888,cronoring,0,2,0.5,"[0, 0, 0]",-2.027170085392376,2.6828586263960292,2.027170085392376,3.9263937040810184,2.2178723123984594,0.5425168995858618,[0.70710678 0.         0.70710678],-3.01296689768521,2.027170085392376,-1.493043682479012,3.926393704081019,2.5493454075117215,-0.39007552882268165,[ 0.63245553  0.70710678 -0.31622777],2.6828586263960292,2.027170085392376,-2.027170085392376,3.9263937040810184,0.6470759856035629,-0.5425168995858618,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",-0.31714137360397077,-0.13314857200107605,0.0,0.34395812692439626,3.539084462196783,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1889,cronoring,0,2,0.5,"[0, 0, 0]",-2.039169487163734,3.3241605822821407,2.039169487163734,4.400734935389491,2.1210388302328806,0.48179457907851764,[0.70710678 0.         0.70710678],-3.310498442398228,2.039169487163734,-2.0612752938549614,4.400734935389492,2.58951280396347,-0.48747151595122007,[ 0.63245553  0.70710678 -0.31622777],3.3241605822821407,2.039169487163734,-2.039169487163734,4.400734935389491,0.550242503437984,-0.48179457907851764,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",0.3241605822821405,-0.11617885527565823,0.0,0.344350997557229,5.939047691925438,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1890,cronoring,0,2,0.5,"[0, 0, 0]",-2.336974590389529,2.839268803250748,2.336974590389529,4.357103144219281,2.2594589979952757,0.5661179779473461,[0.70710678 0.         0.70710678],-3.3600132284129156,2.336974590389529,-1.4943924110251168,4.357103144219281,2.533876084470765,-0.35008583101451635,[ 0.63245553  0.70710678 -0.31622777],2.839268803250748,2.336974590389529,-2.336974590389529,4.357103144219281,0.6886626712003789,-0.5661179779473461,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",-0.16073119674925213,0.3049811606501811,0.0,0.3447434204738045,2.0558256144745073,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1891,cronoring,0,2,0.5,"[0, 0, 0]",-1.8852632646792307,2.912406887130367,1.8852632646792307,3.948486929255608,2.1452862097898624,0.49776703612388346,[0.70710678 0.         0.70710678],-2.9886986816747876,1.8852632646792307,-1.761820548043636,3.948486929255608,2.57883530182899,-0.46251630288308954,[ 0.63245553  0.70710678 -0.31622777],2.912406887130367,1.8852632646792307,-1.8852632646792307,3.948486929255608,0.5744898829949657,-0.49776703612388346,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",-0.08759311286963267,-0.3338351224468537,0.0,0.3451353972012984,4.455788844203163,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1892,cronoring,0,2,0.5,"[0, 0, 0]",-2.2536931801173727,3.29041990828099,2.2536931801173727,4.580952856451045,2.171333509963444,0.5143515378827204,[0.70710678 0.         0.70710678],-3.4872849783550333,2.2536931801173727,-1.9351588055399425,4.580952856451045,2.5678510228634064,-0.4361310754670829,[ 0.63245553  0.70710678 -0.31622777],3.29041990828099,2.2536931801173727,-2.2536931801173727,4.580952856451045,0.6005371831685475,-0.5143515378827204,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",0.2904199082809898,0.18720346074973918,0.0,0.34552692925822387,0.5725667667522316,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1893,cronoring,0,2,0.5,"[0, 0, 0]",-2.1624765232459717,2.6590137641616742,2.1624765232459717,4.052525585999576,2.253572081807948,0.5628657790163276,[0.70710678 0.         0.70710678],-3.123324908244779,2.1624765232459717,-1.4112053107641598,4.052525585999577,2.5360101874605725,-0.3556807632066153,[ 0.63245553  0.70710678 -0.31622777],2.6590137641616742,2.1624765232459717,-2.1624765232459717,4.052525585999576,0.6827757550130517,-0.5628657790163276,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",-0.34098623583832594,0.058203627487870856,0.0,0.3459180181545004,2.972529996480887,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1894,cronoring,0,2,0.5,"[0, 0, 0]",-1.9278849057464196,3.2123561972754042,1.9278849057464196,4.21339681940634,2.111323672792557,0.4752499656892401,[0.70710678 0.         0.70710678],-3.160962045828014,1.9278849057464196,-2.0110423896112577,4.21339681940634,2.5939222603877967,-0.49757634219223845,[ 0.63245553  0.70710678 -0.31622777],3.2123561972754042,1.9278849057464196,-1.9278849057464196,4.21339681940634,0.5405273459976603,-0.4752499656892401,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",0.2123561972754044,-0.2735590195990373,0.0,0.34630866539152166,5.372493226209542,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1895,cronoring,0,2,0.5,"[0, 0, 0]",-2.3656592311300524,3.028233388182881,2.3656592311300524,4.512525307293825,2.233968948069981,0.551825772712096,[0.70710678 0.         0.70710678],-3.4701770825049603,2.3656592311300524,-1.650579312603236,4.512525307293826,2.5432466675719883,-0.37446783932017946,[ 0.63245553  0.70710678 -0.31622777],3.028233388182881,2.3656592311300524,-2.3656592311300524,4.512525307293825,0.6631726212750845,-0.551825772712096,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",0.028233388182881024,0.34554736861722923,0.0,0.34669887246222264,1.4892711487586112,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
1896,cronoring,0,2,0.5,"[0, 0, 0]",-1.9544505651499808,2.745481869575236,1.9544505651499808,3.8958214434694636,2.1894502848745074,0.5255382371094676,[0.70710678 0.         0.70710678],-2.9759305472079842,1.9544505651499808,-1.5815767720777285,3.895821443469464,2.5604849721188594,-0.4180372125648972,[ 0.63245553  0.70710678 -0.31622777],2.745481869575236,1.9544505651499808,-1.9544505651499808,3.8958214434694636,0.6186539580796107,-0.5255382371094676,[0.         0.70710678 0.70710678],[0.70710678 0.         0.70710678],0,"[3, 3, 0]",-0.2545181304247639,-0.2359895037771363,0.0,0.3470886408511465,3.8892343784872665,0.0,"[0, 0, 1]",0,0,0.000849079095564809,0.03287979746107146,1,0.0,0,1,0,0,0,0,0,0,0
